source_file,freq_hz,interval_ms,gpu,sample_idx,pcitx_bytes,pcirx_bytes,pcitx_MB,pcirx_MB,pcitx_MBps,pcirx_MBps,pcitx_status,pcirx_status,used_in_task1_baseline
idle_pcie_check_10hz.txt,10,100,GPU4,14,1069137,880459,1.0691,0.8805,10.691,8.805,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,15,2635983,880466,2.636,0.8805,26.36,8.805,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,16,2138247,2478767,2.1382,2.4788,21.382,24.788,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,17,138776,15710,0.1388,0.0157,1.388,0.157,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,18,138776,15710,0.1388,0.0157,1.388,0.157,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,19,5639211,5453159,5.6392,5.4532,56.392,54.532,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,20,1063646,880259,1.0636,0.8803,10.636,8.803,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,21,4024925,3778608,4.0249,3.7786,40.249,37.786,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,22,1063903,880472,1.0639,0.8805,10.639,8.805,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,23,1058615,875192,1.0586,0.8752,10.586,8.752,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,24,2300653,2111989,2.3007,2.112,23.007,21.12,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,25,1498843,1378307,1.4988,1.3783,14.988,13.783,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,26,4187291,4003867,4.1873,4.0039,41.873,40.039,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,27,2584351,2463654,2.5844,2.4637,25.844,24.637,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,28,2584351,2463654,2.5844,2.4637,25.844,24.637,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,29,4648713,4496726,4.6487,4.4967,46.487,44.967,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,30,1074429,896231,1.0744,0.8962,10.744,8.962,valid,valid,True
